       table_name       |           column_name            |        data_type         
------------------------+----------------------------------+--------------------------
 addon_groups           | name                             | text
 addon_groups           | product_id                       | uuid
 addon_groups           | created_at                       | timestamp with time zone
 addon_groups           | store_id                         | uuid
 addon_groups           | price_replaces_base              | boolean
 addon_groups           | sort_order                       | integer
 addon_groups           | min_select                       | integer
 addon_groups           | max_select                       | integer
 addon_groups           | id                               | uuid
 addon_items            | created_at                       | timestamp with time zone
 addon_items            | name                             | text
 addon_items            | group_id                         | uuid
 addon_items            | id                               | uuid
 addon_items            | sort_order                       | integer
 addon_items            | price                            | numeric
 admin_settings         | value                            | jsonb
 admin_settings         | updated_at                       | timestamp with time zone
 admin_settings         | key                              | text
 admin_settings         | id                               | uuid
 app_links              | id                               | uuid
 app_links              | is_highlight                     | boolean
 app_links              | is_active                        | boolean
 app_links              | sort_order                       | integer
 app_links              | created_at                       | timestamp with time zone
 app_links              | updated_at                       | timestamp with time zone
 app_links              | url                              | text
 app_links              | description                      | text
 app_links              | label                            | text
 app_links              | icon                             | text
 app_links              | is_external                      | boolean
 archived_accounts      | email                            | text
 archived_accounts      | phone                            | text
 archived_accounts      | metadata                         | jsonb
 archived_accounts      | total_spent                      | numeric
 archived_accounts      | deletion_reason                  | text
 archived_accounts      | address_number                   | text
 archived_accounts      | street                           | text
 archived_accounts      | cep                              | text
 archived_accounts      | pix_type                         | text
 archived_accounts      | order_count                      | integer
 archived_accounts      | retain_until                     | timestamp with time zone
 archived_accounts      | deleted_at                       | timestamp with time zone
 archived_accounts      | account_created_at               | timestamp with time zone
 archived_accounts      | terms_accepted_at                | timestamp with time zone
 archived_accounts      | original_user_id                 | uuid
 archived_accounts      | pix_key                          | text
 archived_accounts      | neighborhood                     | text
 archived_accounts      | city                             | text
 archived_accounts      | role                             | text
 archived_accounts      | id                               | uuid
 archived_accounts      | whatsapp_number                  | text
 archived_accounts      | full_name                        | text
 archived_accounts      | document                         | text
 banners                | link_value                       | text
 banners                | link_type                        | text
 banners                | image_url                        | text
 banners                | subtitle                         | text
 banners                | title                            | text
 banners                | id                               | uuid
 banners                | is_active                        | boolean
 banners                | sort_order                       | integer
 banners                | store_id                         | uuid
 banners                | created_at                       | timestamp with time zone
 compliance_alerts      | store_id                         | uuid
 compliance_alerts      | alert_type                       | text
 compliance_alerts      | resolved_at                      | timestamp with time zone
 compliance_alerts      | created_at                       | timestamp with time zone
 compliance_alerts      | is_resolved                      | boolean
 compliance_alerts      | id                               | uuid
 compliance_alerts      | message                          | text
 coupon_uses            | created_at                       | timestamp with time zone
 coupon_uses            | order_id                         | uuid
 coupon_uses            | user_id                          | uuid
 coupon_uses            | coupon_id                        | uuid
 coupon_uses            | id                               | uuid
 coupons                | discount_type                    | text
 coupons                | discount_value                   | numeric
 coupons                | code                             | text
 coupons                | description                      | text
 coupons                | store_id                         | uuid
 coupons                | id                               | uuid
 coupons                | first_order_only                 | boolean
 coupons                | is_active                        | boolean
 coupons                | used_count                       | integer
 coupons                | max_uses                         | integer
 coupons                | min_order_value                  | numeric
 coupons                | expires_at                       | timestamp with time zone
 coupons                | created_at                       | timestamp with time zone
 coupons_public         | id                               | uuid
 coupons_public         | discount_value                   | numeric
 coupons_public         | min_order_value                  | numeric
 coupons_public         | expires_at                       | timestamp with time zone
 coupons_public         | first_order_only                 | boolean
 coupons_public         | is_active                        | boolean
 coupons_public         | discount_type                    | text
 coupons_public         | description                      | text
 coupons_public         | store_id                         | uuid
 coupons_public         | code                             | text
 driver_balances        | total_earned                     | numeric
 driver_balances        | pending_amount                   | numeric
 driver_balances        | paid_amount                      | numeric
 driver_balances        | updated_at                       | timestamp with time zone
 driver_balances        | id                               | uuid
 driver_balances        | driver_user_id                   | uuid
 driver_earnings        | status                           | text
 driver_earnings        | amount                           | numeric
 driver_earnings        | created_at                       | timestamp with time zone
 driver_earnings        | order_id                         | uuid
 driver_earnings        | driver_user_id                   | uuid
 driver_earnings        | id                               | uuid
 driver_locations       | latitude                         | double precision
 driver_locations       | driver_user_id                   | uuid
 driver_locations       | id                               | uuid
 driver_locations       | order_id                         | uuid
 driver_locations       | longitude                        | double precision
 driver_locations       | updated_at                       | timestamp with time zone
 driver_locations       | heading                          | double precision
 driver_locations       | speed                            | double precision
 driver_locations       | accuracy                         | double precision
 drivers                | user_id                          | uuid
 drivers                | id                               | uuid
 drivers                | city                             | text
 drivers                | created_at                       | timestamp with time zone
 drivers                | is_online                        | boolean
 drivers                | is_active                        | boolean
 drivers                | name                             | text
 emergency_fund         | transaction_type                 | text
 emergency_fund         | partner_id                       | uuid
 emergency_fund         | id                               | uuid
 emergency_fund         | created_at                       | timestamp with time zone
 emergency_fund         | description                      | text
 emergency_fund         | source                           | text
 emergency_fund         | amount                           | numeric
 fcm_tokens             | created_at                       | timestamp with time zone
 fcm_tokens             | device_info                      | text
 fcm_tokens             | token                            | text
